case:concept:name,id_event,sort_order,time,text,concept:name,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break,cumgoal,date,result,time:timestamp,@@index
16 Chelsea vs Everton,A79oxRzJ4,4,0:11:00,Foul by Aaron Lennon (Everton).,파울,,원정팀,Everton,Chelsea,aaron lennon,,,,,,0,,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:11:00+00:00,758052
16 Chelsea vs Everton,A79oxRzJ5,5,0:11:00,Foul by John Obi Mikel (Chelsea).,파울,,홈팀,Chelsea,Everton,john obi mikel,,,,,,0,,,없음,,0,0,2016-01-16 00:00:10+00:00,무,2016-01-16 00:11:10+00:00,758053
16 Chelsea vs Everton,A79oxRzJ6,6,0:11:00,Ross Barkley (Everton) wins a free kick in the attacking half.,공격지역프리킥시도,,원정팀,Everton,Chelsea,ross barkley,,,,,,0,공격지역,,없음,,0,0,2016-01-16 00:00:20+00:00,무,2016-01-16 00:11:20+00:00,758054
16 Chelsea vs Everton,A79oxRzJ7,7,0:11:00,Cesc Fabregas (Chelsea) wins a free kick in the defensive half.,수비지역프리킥시도,,홈팀,Chelsea,Everton,cesc fabregas,,,,,,0,수비지역,,없음,,0,0,2016-01-16 00:00:30+00:00,무,2016-01-16 00:11:30+00:00,758055
16 Chelsea vs Everton,A79oxRzJ8,8,0:16:00,Attempt saved. Willian (Chelsea) right footed shot from the right side of the box is saved in the top left corner. Assisted by Cesc Fabregas.,우측패널티박스슈팅시도,키패스,홈팀,Chelsea,Everton,willian,cesc fabregas,,,좌측상단,유효슈팅,0,우측패널티박스,오른발,패스,필드,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:16:00+00:00,758056
16 Chelsea vs Everton,A79oxRzJ9,9,0:16:00,John Obi Mikel (Chelsea) wins a free kick in the attacking half.,공격지역프리킥시도,,홈팀,Chelsea,Everton,john obi mikel,,,,,,0,공격지역,,없음,,0,0,2016-01-16 00:00:10+00:00,무,2016-01-16 00:16:10+00:00,758057
16 Chelsea vs Everton,A79oxRzJ10,10,0:17:00,"Corner,  Chelsea. Conceded by Tim Howard.",코너킥,,홈팀,Chelsea,Everton,tim howard,tim howard,,,,,0,,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:17:00+00:00,758058
16 Chelsea vs Everton,A79oxRzJ11,11,0:18:00,Attempt blocked. Ross Barkley (Everton) right footed shot from the left side of the box is blocked. Assisted by Aaron Lennon.,좌측패널티박스슈팅시도,키패스,원정팀,Everton,Chelsea,ross barkley,aaron lennon,,,막힘,차단,0,좌측패널티박스,오른발,패스,필드,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:18:00+00:00,758059
16 Chelsea vs Everton,A79oxRzJ12,12,0:18:00,"Offside, Everton. Ross Barkley tries a through ball, but Kevin Mirallas is caught offside.",오프사이드,스루패스실패,원정팀,Everton,Chelsea,kevin mirallas,,,,,,0,,,없음,,0,0,2016-01-16 00:00:10+00:00,무,2016-01-16 00:18:10+00:00,758060
16 Chelsea vs Everton,A79oxRzJ13,13,0:21:00,"Attempt missed. Bryan Oviedo (Everton) left footed shot from the centre of the box is close, but misses to the right.",패널티박스중앙슈팅시도,,원정팀,Everton,Chelsea,bryan oviedo,,,,우측으로빗나감,비유효슈팅,0,패널티박스중앙,왼발,없음,필드,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:21:00+00:00,758061
16 Chelsea vs Everton,A79oxRzJ14,14,0:23:00,Leighton Baines (Everton) wins a free kick in the defensive half.,수비지역프리킥시도,,원정팀,Everton,Chelsea,leighton baines,,,,,,0,수비지역,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:23:00+00:00,758062
