id_odsp,event_team,cumgoal
8lemmgQC/,Atletico Madrid,0
b5tYg0rJ/,Lecce,0
b5tYg0rJ/,Cagliari,2
CENctq7H/,Hamburg SV,1
CENctq7H/,Schalke 04,2
j5M1u3MN/,Hannover 96,3
j5M1u3MN/,Werder Bremen,2
jwbOIqLJ/,Catania,3
jwbOIqLJ/,Novara,3
KCtN3EAg/,Real Betis,0
KCtN3EAg/,Levante,1
KEsUftTC/,Juventus,2
KEsUftTC/,AC Milan,0
pCFkwK6p/,Stade Rennes,0
pCFkwK6p/,Lille,2
QFlLd2b0/,Fiorentina,1
QFlLd2b0/,Lazio,0
ryw3B1Dg/,Bologna,0
ryw3B1Dg/,Udinese,2
UPGp1Nbi/,Marseille,1
UPGp1Nbi/,Brest,1
UTdSH3zQ/,Siena,0
UTdSH3zQ/,Palermo,2
WhkHcrqf/,Cesena,0
WhkHcrqf/,Chievo Verona,0
xjKha1T3/,Lyon,0
xjKha1T3/,Paris Saint-Germain,2
zBZfDNrs/,Genoa,1
zBZfDNrs/,Parma,3
bglif2yH/,Werder Bremen,0
bglif2yH/,Borussia Dortmund,2
88BkPKsg/,Parma,2
88BkPKsg/,Napoli,1
8I6s1CfC/,Barcelona,3
8I6s1CfC/,Racing Santander,0
As9zE0rc/,Dijon FCO,3
As9zE0rc/,Montpellier,5
bFP59NLc/,Bayer Leverkusen,2
bFP59NLc/,Borussia Monchengladbach,2
C0URm0Ep/,VfB Stuttgart,2
C0URm0Ep/,TSG Hoffenheim,0
dCEXFB95/,Real Betis,1
dCEXFB95/,Real Madrid,4
df3yiwyp/,Caen,1
df3yiwyp/,Brest,1
GpRverMA/,Schalke 04,1
GpRverMA/,Kaiserslautern,2
I9ipkH5d/,Lyon,3
I9ipkH5d/,AS Nancy Lorraine,1
KOQ1A36i/,Nurnberg,1
KOQ1A36i/,VfL Wolfsburg,2
KthHHXvg/,Getafe,0
KthHHXvg/,Villarreal,0
KYB9eJSS/,AJ Auxerre,1
KYB9eJSS/,Lille,3
